Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
ComMetering GmbH,,,,,0,ComMetering bietet als Dienstleister den Messstellenbetrieb für Betreiber von Photovoltaik-Anlagen an.,,sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung.
Cramer Mühle KG,,,,,A,,,
Crämer Schmäling GmbH,,,,,A,,,
DB Energie,,,,,A,,,
Dessauer Stromversorgung GmbH,Albrechtstraße 48,6844,Dessau,https://www.dvv-dessau.de,A,,,
die energievorsorger GmbH,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,A,,,
Die Heidelberger Solidarstromer,Pferchelhang 18,69118,Heidelberg,https://heidelberger.solidarstrom.de,X,,EcoTopTen,"ökostrom+, Schönau"
Die Schriesheimer Ökostromer,Postfach 1105,69191,Schriesheim,https://www.schriesheimer.ökostromplus.de,X,,EcoTopTen,"ökostrom+, Schönau"
Donau-Stadtwerke Dillingen-Lauingen,,,,,A,,,
Dortmunder Energie- und Wasserversorgung GmbH,,,,,A,,,
Dreipunkt Energie - Eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,,,,,A,,,
Dreischtrom GmbH,,,,,A,,,
DREWAG - Stadtwerke Dresden GmbH,Friedrich-List-Platz 2,1069,Dresden,https://www.drewag.de,A,,,
E.ON Energie Deutschland GmbH,Arnulfstraße 203,80634,München,https://www.eon.de,A,,,
E.VITA GmbH,,,,,A,,,
e.wa riss GmbH & Co KG,Freiburger Straße 6,88400,Biberach,https://www.ewa-riss.de,A,,,
EAM Energie GmbH,Monteverdistraße 2,34131,Kassel,https://www.eam.de,RC,,,
EBERwerk GmbH & Co. KG,Eichthalstr. 10,85560,Ebersberg,https://www.eberwerk.de,R,,,
EBLD Schweiz Strom GmbH,,,,https://www.schweizstrom.de,B,"EBLD hält Anteile an der Alpiq Holding AG (7,1 %) die wiederung im Besitz ist /Anteile hält an Kohle und Atomkraftwerken In Tschechien und in der Schweiz. Sie leistet außerdem keinen zusätzlichen Investitionen (entsprechend der ROBIN WOOD Kriterien) in die Energiewende",TÜV Nord,deutschlandweiter Anbieter
Econsum GmbH,,,,,A,,,
EGF EnergieGesellschaft Frankenberg mbH,,,,,A,,,
EGT Energievertrieb GmbH,Schonacher Str. 2,78098,Triberg,https://www.egt.de,A,,,
EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,,,,,A,,,
Eichenmüller GmbH & Co. KG,,,,,A,,,
Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,Am Euzenberg 32,37115,Duderstadt,https://www.ewb-duderstadt.de,A,,,
Eichsfeldgas GmbH,,,,,A,,,
Einhorn Energie GmbH & Co. KG,,,,https://www.einhorn-energie.de,B,"Die EINHORN-ENERGIE ist ein Kooperationsunternehmen der Stadtwerke Giengen und der EnBW Ostwürttemberg DonauRies AG (ODR). Die ODR hält 49,9 Prozent der Anteile. ENBW betreibt und/oder ist beteiligt an Atom- und Kohlekraftwerken",, EnBW ODR ist eine Tochtergesellschaft der EnBW 
eins energie in sachsen GmbH & Co. KG,Augustusburger Straße 1,9111,Chemnitz,https://www.eins.de,A,,,
Eisenacher Versorgungs-Betriebe GmbH,,,,,A,,,
Elektra-Genossenschaft Effeltrich eG,Hauptstr. 1,91090,Effeltrich,https://elektra-effeltrich.de/,A,,,
Elektra-Genossenschaft Pinzberg eG,,,,,A,,,
Elektrizitäts-Genossenschaft Dirmstein eG,,,,,A,,,
Elektrizitätsgenossenschaft Engelsberg e.G.,Osnabrücker Straße 31a,49219,Glandorf,https://www.eg-engelsberg.de,A,,,
Elektrizitätsgenossenschaft Hasbergen eG,,,,,A,,,
Elektrizitätsgenossenschaft Karlstein eG,Weitwiesenring 6,83435,Bad Reichenhall,https://www.eg-karlstein.de,RC,,,
Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,,,,,A,,,
Elektrizitätsgenossenschaft Oesterweg eG,,,,,A,,,
Elektrizitätsgenossenschaft Ohlstadt eG,Schwaigweg 7,82441,Ohlstadt,http://ego-ohlstadt.de,A,,,
Elektrizitätsgenossenschaft Rettenberg eG,Burgberger Str. 24,87549,Rettenberg,http://www.eg-rettenberg.de,A,,,"Netzbetreiber, Strom der Kooperation AllgäuStrom"
Elektrizitäts-Genossenschaft Röthenbach eG,,,,,A,,,
Elektrizitäts-Genossenschaft Schlachters eG,Hauptstraße 51,88138,Sigmarszell,info@eg-schlachters.de,RC,,,
Elektrizitäts-Genossenschaft Schonstett eG,,,,,A,,,
Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,Stefan-Flötzl-Str. 4,83342,Tacherting,https://egtf.de,A,,,
Elektrizitätsgenossenschaft Unterneukirchen eG,,,,,A,,,
Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,Höpfling 2,83313,Siegsdorf,https://www.eva-siegsdorf.de,A,,,
Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf,https://www.eg-wolkersdorf.de/,A,,,
Elektrizitätsgesellschaft Levern eG,,,,,A,,,
Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,Lindenstraße 14,83620,Feldkirchen-Westerham,https://www.ewg-vagen.de/,A,,,
Elektrizitätsvereinigung Böbing eG,Riedelweg 2,82389,Böbing,https://ev-boebing.de,A,,,
Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,Am Plan 4-6,97469,Gochsheim,https://evu.gochsheim.de,A,,,
Elektrizitäts-VersorgungGenossenschaft Perlesreut eG,,,,,A,,,
Elektrizitätsversorgung Rheinzabern,Hauptstraße 33,76764,Rheinzabern,http://www.evu-rheinzabern.de,A,,,
Elektrizitätswerk Aach GmbH,,,,,A,,,
Elektrizitätswerk des Kantons Schaffhausen AG,Rheinstr. 37,CH-8200 ,Schaffhausen,https://www.eks.ch,A,,,
Elektrizitätswerk Diessen Stadler GmbH,,,,,A,,,
Elektrizitätswerke Reutte GmbH & Co KG,Lechhalde 1 1/2,87629,Füssen,https://www.ewr-energie.com,R,,x,
Elektrizitätswerke Schönau Vertriebs GmbH,Friedrichstraße 53/55,79677,Schönau/Schw.,https://www.ews-schoenau.de/,X,,"OK-Power Plus, EcoTopTen",
Elektrizitätswerk Gemeinde Glattbach,Im Wiesengrund 3,63864,Glattbach,https://www.glattbach.de,A,,,
Elektrizitätswerk Georg Grandl e.K.,,,,,A,,,
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,,,,,A,,,
Elektrizitätswerk Haimmerer,,,,,A,,,
Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,Im Geisenborn 4,56242,Selters,https://www.ewh.de,A,,,
Elektrizitätswerk Hauenstein,,,,,A,,,
Elektrizitätswerk Heinrich Schirmer,,,,,A,,,
Elektrizitätswerk Hindelang eG,Weidachstrasse 9,87541,Bad Hindelang,https://www.ewhindelang.de,A,,,
Elektrizitätswerk Kappelrodeck Gustav Ziegler KG,Venedig 10,77876,Kappelrodeck,http://s439195908.website-start.de/,A,,,
Elektrizitätswerk Karl Stengle GmbH & Co KG,Niedere-Au-Straße 11,72108,Rottenburg a. N.,https://www.e-werk-stengle.de,RC,,,
Elektrizitätswerk Landsberg GmbH,,,,,A,,,
Elektrizitätswerk Leitlein GmbH & Co. KG,,,,,A,,,
Elektrizitäts-Werk Mainbernheim GmbH,Am Wehrbach 1,97350,Mainbernheim,http://www.ewerk-mainbernheim.de,R,,RenewablePLUS,
Elektrizitätswerk Markt Obernzell,,,,,A,,,
Elektrizitätswerk Max Peißker,,,,,A,,,
Elektrizitätswerk Mittelbaden AG & Co. KG,,,,,A,,,
Elektrizitätswerk Müller Tauberrettersheim,,,,,A,,,
Elektrizitätswerk Oberwössen eG,Dorfstraße 28,83246,Oberwössen,https://www.ew-oberwoessen.de/,A,,,
Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,,,,,A,,,
Elektrizitäts-Werk Ottersberg,Grüne Straße 24,28870,Ottersberg,https://www.ewerk-ottersberg.de,A,,,
Elektrizitätswerk Rieger GmbH & Co. KG,Friedrichstrasse 16,72805,Lichtenstein,https://www.ewr-rieger.de,R,,x,
Elektrizitätswerk Rohmund GmbH,,,,,A,,,
Elektrizitätswerk Rosenmühle e.K.,,,,,A,,,
Elektrizitätswerk Schweiger GmbH,,,,,A,,,
Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,Hochfeldstraße 3,83684,Tegernsee,https://ewerk-tegernsee.de,A,,,
Elektrizitätswerk Wanfried von Scharfenberg KG,Unter der Tränke 1,37281,Wanfried,https://www.ewwanfried.de,A,,,
Elektrizitätswerk Weißenhorn AG,,,,,A,,,
Elektrizitätswerk Wennenmühle Schörger KG,,,,,A,,,
Elektro-Trück GmbH,,,,,A,,,
Elogico - Eine Marke der ENSTROGA AG,,,,,A,,,
em.serv GmbH,,,,,A,,,
EMB Energie Mark Brandenburg GmbH,Großbeerenstraße 181 - 18,14482,Potsdam,https://www.emb-gmbh.de,A,,,
EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,Luitpoldstraße 17,63897,Miltenberg,https://we-are-energy.de,A,,,
Emil Energie GmbH,,,,,A,,,
EMMA Energie - eine Marke von TWL Energie Deutschland GmbH,,,,,A,,,
Emscher Lippe Energie GmbH,Ebertstr.30,45879,Gelsenkirchen,https://www.ele.de,A,,,
EnBW Energie Baden-Württemberg AG,Durlacher Allee 93,76131,Karlsruhe,https://www.enbw.com,A,,,
EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,Unterer Brühl 2,73479,Ellwangen,https://www.enbw.com,A,,,
ener.my GmbH,,,,,A,,,
enercity AG,Ihmeplatz 2,30449,Hannover,https://www.enercity.de,A,,,
eneREGIO GmbH,,,,,A,,,
Energie Aktiengesellschaft Iserlohn,,,,,A,,,
Energie Calw GmbH,,,,,A,,,
Energiedienst AG,Schönenbergerstr. 10,79618,Rheinfelden,https://www.naturenergie.de,A,,,
Energiegenossenschaft für Wittmund eG,Aseler-Str. 10,26409,Wittmund,https://www.eg-wittmund.de,A,,,
Energiegenossenschaft Odenwald eG,Helmholtzstraße 1,64711,Erbach,www.eg-odenwald.de,R,,OK Power,
Energie-Gesellschaft Unterkirnach mbH,Hauptstraße 5,78089,Unterkirnach,https://www.egu-strom.de,A,,,
energieGUT GmbH,Bungertstr. 27,47053,Duisburg,https://www.energiegut.de,A,,,
energiehoch3 GmbH,Ostring 28,44787,Bochum,https://www.energiehoch3.de,A,,,
Energie Rellingen - eine Marke der Stadtwerke Elmshorn,,,,,A,,,
Energie Rhein-Sieg GmbH,Südstraße 27,53757,Sankt Augustin,https://www.energie-rhein-sieg.de/,B,"100%igeTochter der Stadtwerke Schwäbisch Hall, S. Schwäbisch Hall handelt auch Graustrom. Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende",,
ENERGIERIED GmbH & Co. KG,,,,,A,,,
Energie SaarLorLux AG,,,,,A,,,
Energie Sachsenheim GmbH & Co. KG,,,,,A,,,
Energie Südbayern GmbH,Ungsteiner Straße 31,81539,München,https://www.esb.de,A,,,
EnergieSüdwest Aktiengesellschaft,Industriestr. 18,76829,Landau,https://energie-suedwest.de,B,An EnergieSüdwest ist Enovos Deutschland SE mit einem Anteil von 51% beteiligt; Enovos handelt Graustrom (Stromkennzeichung: https://www.enovos.de/dienstleistungen/dienstleistungen-fuer-industrie/). Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende,,
Energie- und Medienversorgung Schwarza GmbH,,,,,A,,,
Energie und Versorgung Butzbach GmbH,Himmrichsweg 2,35510,Butzbach,https://www.evb-butzbach.de,A,,,
Energie und Wasser Potsdam GmbH,Steinstr. 101,14480,Potsdam,https://www.swp-potsdam.de,A,,,
Energie und Wasserversorgung Aktiengesellschaft Kamenz,,,,,A,,,
Energie- und Wasserversorgung Altenburg GmbH,Franz-Mehring-Straße 6,4600,Altenburg,https://www.ewa-altenburg.de,A,,,
Energie- und Wasserversorgung Bitz GmbH,Goethestraße 91,72461,Albstadt,https://www.ew-bitz.de,A,,,
Energie- und Wasserversorgung Bruchsal GmbH,,76646,Bruchsal,https://www.stadtwerke-bruchsal.de,A,,,
Energie- und Wasserversorgung Bünde GmbH,Osnabrücker Str. 205,32257,Bünde,https://www.ewb.aov.de,A,,,
Energie- und Wasserversorgung Kirchzarten GmbH,Hauptstrasse 24,79199,Kirchzarten,https://www.ewk-gmbh.de/ewk,A,,TÜV Nord,
Energie- und Wasserversorgung Rheine GmbH,Hafenbahn 10,48431,Rheine,https://www.stadtwerke-rheine.de,A,,,
Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG,Am Wasserwerk 5,23795,Bad Segeberg,https://www.ew-segeberg.de/,RC,,KlimaInvest-Ökostrom,Mietstromangebot
Energie und Wasser Waldbröl GmbH,Nümbrechter Straße 6,51545,Waldbröl,www.ew-waldbroel.de,R,"Tochterunternehmen der Stadt Waldbröl und der Stadtwerke Aachen AG, die mit 51% eine mehrheitliche Beteiligung hat; Die STAWAG handeln Graustrom und sind an Kohlekraftwerkn beteiligt (Trianel Kohlekraftwerk Lünen GmbH & Co. KG; https://www.eva-aachen.de/fileadmin/user_upload/EVA-GB2017_Web_181004.pdf)",OK Power,
Energie- und Wasserwerke Bautzen GmbH,Schäfferstraße 44,2625,Bautzen,https://www.ewbautzen.de,A,,,
Energieversorgung Alzenau GmbH,,,,,A,,,
Energieversorgung Apolda GmbH,,,,,A,,,
Energieversorgung Bad Bentheim GmbH & Co. KG,Schloßstraße 2a,48455,Bad Bentheim,https://www.bentheim-energie.de,A,,,
Energieversorgung Bad Boll GmbH,Eybstraße 98 - 102,73312,Geislingen,https://www.energie-bollwerk.de,A,,,
Energieversorgung Beckum GmbH & Co. KG,,,,,A,,,
Energieversorgung Buching-Trauchgau GmbH,Lechbrucker Str. 4,87642,Halblech,https://www.ebt-halblech.de,A,,,
Energieversorgung Dahlenburg-Bleckede AG,Lüneburger Straße 21,21368,Dahlenburg,https://www.evdbag.de,A,,,
Energieversorgung Filstal GmbH & Co. KG,Großeislinger Str. 30,73033,Göppingen,https://www.evf.de,A,,,
Energieversorgung Gaildorf OHG,Burg 2,74405,Gaildorf - Unterrot,https://www.ev-gaildorf.de,A,,,
Energieversorgung Gemünden GmbH,,,,,A,,,
Energieversorgung Gera GmbH,De-Smit-Straße 18,7545,Gera,https://www.energieversorgung-gera.de,A,,,
Energieversorgung Greiz GmbH,Mollbergstraße 20,7973,Greiz,https://www.evgreiz.de,A,,,
Energieversorgung Guben GmbH,,,,,A,,,
Energieversorgung Inselsberg GmbH,,,,,A,,,
Energieversorgung Klettgau-Rheintal GmbH & Co. KG,,,,,A,,,
Energieversorgung Kranenburg GmbH,,,,,A,,,
Energieversorgung Lenningen GmbH,Eybstraße 98 - 102,73252,Lenningen,https://www.ev-lenningen.de,A,,,
Energieversorgung Leverkusen GmbH & Co. KG,Overfeldweg 23,51371,Leverkusen,https://www.evl-gmbh.de,A,,,
Energieversorgung Limburg GmbH,Ste.-Foy-Straße 36,65549,Limburg an der Lahn,https://www.evl.de,A,,,
Energieversorgung Lohr-Karlstadt und Umgebung GmbH,Zum Helfenstein 4 - 6,97753,Karlstadt,https://www.die-energie.de,A,,,
Energieversorgung Mainhardt Wüstenrot GmbH & Co. KG,Hauptstraße 1,74535,Mainhardt,http://www.emw-energie.de,B,Beteiligung der Stadtwerke Schwäbisch Hall (handelt auch Graustrom). Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende,,
Energieversorgung Main-Spessart GmbH,Boschweg 9,63741,Aschaffenburg,https://www.energieversorgung-mainspessart.de,A,,,
Energieversorgung Marienberg GmbH,,,,,A,,,
Energieversorgung Michelfeld GmbH,,,,http://web80001.web80.serverdienst.net,B,"Stadtwerke Schwäbisch Hall sind mit einem Anteil von 47,6% beteiligt, Stadtwerke S. Hall verkaufen auch Graustrom (https://www.stadtwerke-hall.de/stromangebot/). Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende",,
Energieversorgung Mittelrhein AG,Ludwig-Erhard-Str. 8,56073,Koblenz,https://www.energieversorgung-mainspessart.de,A,,,
Energieversorgung Münchberg-Schwarzenbach/Saale GmbH & Co.KG,Mühlgasse 5,95213,Münchberg,https://www.stadtwerke-muenchberg.de,A,,,
Energieversorgung Nordhausen GmbH,Straße der Genossenschaften 93,99734,Nordhausen,https://www.energie-nordhausen.de/,A,,,
Energieversorgung Oberes Wiesental GmbH,Meinrad-Thoma-Straße 8a,79674,Todtnau,https://www.eow-todtnau.de/,A,,,Beteiligung badenova mit 24 % (Vertreibt auch normal-Strom)
Energieversorgung Oberhausen AG,Danziger Straße 31,46045,Oberhausen,https://www.evo-energie.de,A,,,
Energieversorgung Oberstdorf GmbH,Nebelhornstraße 51-53,87561,Oberstdorf,http://www.gemeindewerke-oberstdorf.de,A,,,
Energieversorgung Offenbach AG,Andréstraße 71,63067,Offenbach,https://www.evo-ag.de,A,,,
Energieversorgung Ottobrunn GmbH,,,,,A,,,
Energieversorgung Oy-Kressen e.G.,Sonnenmulde 1,87466,Oy-Mittelberg,http://evok-oy.de/wordpress/,A,,,
Energieversorgung Pirna GmbH,,,,,A,,,
Energieversorgung Rodau GmbH,Friedberger Straße 37,63110,Rodgau,https://www.ev-rodau.de/,B,Die Energieversorgung Rodau GmbH gehört zu 49% zur Maingau Energie GmbHan der rhenag Rheinische Energie AG und Süwag energy AG zusammen ca. 46% Anteil haben,TÜV Süd,
Energieversorgung Rudolstadt GmbH,Oststraße 18,7407,Rudolstadt,https://www.ev-rudolstadt.de,A,,,
Energieversorgung Rupert Heider & Co. KG,,,,,A,,,
Energieversorgung Rüsselsheim GmbH,Walter-Flex-Straße 74,65428,Rüsselsheim,https://www.stadtwerke-ruesselsheim.de,A,,,
Energieversorgung Schmid,Mühlenstraße 44,83417,Kirchanschöring,http://www.evuschmid.de,A,,,
Energieversorgung Sehnde GmbH,Nordstraße 19,31319,Sehnde,https://www.energieversorgung-sehnde.de,A,,,
Energieversorgung Selb-Marktredwitz GmbH,,,,,A,,,
Energieversorgung Südbaar GmbH & Co.KG,Leo-Wohleb-Str. 3,78176,Blumberg,https://www.esb-energie.de,A,,,
Energieversorgung Sylt GmbH,Friesische Str. 53,25980,Westerland,https://www.energieversorgung-sylt.de,RC,,TÜV Nord,Beteiligung: KOM9 und Thüga Erneuerbare Energien
Energieversorgung Titisee-Neustadt GmbH,Gutachstr. 13,79822,Titisee-Neustadt,https://www.ev-tn.de,R,,TÜV Nord-Geprüfter Ökostrom,Kooperation mit EWS Schönau
Energieversorgung Trossingen GmbH,Bahnhofstraße 9,78647,Trossingen,http://www.swtro.de,R,,"Grüner Strom Gold, TÜV Süd EE",
energieversprechen.de - eine Marke der Stadtwerke Troisdorf,Poststr. 105,53840,Troisdorf,https://www.energieversprechen.de,R,,RenewablePLUS,
Energie von nebenan - eine Marke der Stadtwerke Herne AG,,,,,A,,,
Energie Vorpommern GmbH,Wiesenweg 6,17449,Trassenheide,https://www.energie-vorpommern.de,A,,,
Energie Waldeck-Frankenberg GmbH,Arolser Landstr. 27,34497,Korbach,https://www.ewf.de,A,,,
Energiewerke Isernhagen GmbH,Bothfelder Straße 31,30916,Isernhagen,https://www.ewi-isernhagen.de,A,,,
Energiewerke Zeulenroda GmbH,Lohweg 8,7937,Zeulenroda,https://www.energiewerke-zeulenroda-triebes.de/,A,,,
Energiewerk Meckenheim,Hauptstr. 58,67149,Meckenheim,http://www.ewerk-meckenheim-pfalz.de,A,,,
Energiewerk Ortenau Energiegesellschaft GmbH & Co. KG,,,,,A,,,
Energie wie wir - eine Marke der swb Vertrieb Bremen GmbH,,,,,A,,,
energis GmbH,,,,,A,,,
energy4u GmbH & Co. KG,,,,https://www.energy4u.de/wer-sind-wir,B,"Kooperationsunternehmen der Stadt Siegburg und der rhenag (Anteil 49%) - Hauptgesellschafterin der rhenag AG ist innogy (66,67 % Anteil)",,
Energy Air GmbH,,,,https://www.energy-air.de,A,,,Absolut kein Ökostomanbieter
enerSwitch - eine Marke der EWV Energie- und Wasser-Versorgung GmbH Stolberg,,,,,A,,,
enewa GmbH Energie + Wasser Wachtberg,Am Wachtbergring 2a,53343,Wachtberg,https://www.enewa.de,R,,OKPower,"STAWAG, Stadtwerke Aachen AG"
ENNI Energie & Umwelt Niederrhein GmbH,Uerdinger Straße 31,47441,Moers,https://www.enni.de,A,,,
enno energie GmbH,Keffelker Straße 27,59929,59929,https://www.enno-energie.de,R,,KlimaInvest-ÖkostromRE,
ENPURE - eine Marke der Vattenfall Real Estate Energy Sales GmbH,,,,,A,,,
enQu GmbH,Speckenbeker Weg 130,24113,Kiel,https://www.enqu.de,A,,,
ENRW Energieversorgung Rottweil GmbH & Co. KG,In der Au 5,78628,Rottweil,https://www.enrw.de,A,,,
ENSO Energie Sachsen Ost AG,Friedrich-List-Platz 2,1069,Dresden,https://enso.de,A,,,
